index,hub,latitude,longitude
698,17874,32.77502,-96.73418
699,17875,32.73525,-96.27483
700,17876,31.16516,-96.67672
701,17877,29.3196,-99.46207
702,17878,29.36542,-98.56583
703,17879,28.03788,-99.35588
704,17880,27.66902,-99.46885
705,17881,27.50002,-99.51593
706,17882,27.50952,-99.51405
707,17883,28.74248,-98.30221
708,17884,28.77193,-98.31674
709,17885,30.08231,-97.84184
710,17886,30.22032,-97.77754
711,17887,30.21082,-97.68338
712,17888,31.02564,-96.48489
713,17889,30.65294,-95.95746
714,17890,30.15012,-94.72383
715,17891,30.02348,-95.08664
716,17892,29.82101,-95.35226
717,17893,29.77403,-95.34729
718,17894,29.81277,-95.3502
719,17895,33.25955,-97.79318
720,17896,32.01159,-97.60146
721,17897,29.33038,-95.2443
722,17898,29.22645,-95.19904
723,17899,29.39894,-95.17546
724,17900,36.39779,-100.80838
725,17901,30.71442,-94.93369
726,17902,36.37646,-103.0248
727,17903,35.68076,-102.33191
728,17904,35.242,-101.78047
729,17906,34.93748,-100.88251
730,17907,29.14027,-98.90336
731,17908,27.30528,-98.67586
732,17909,27.51297,-97.86806
733,17910,31.43468,-106.07273
734,17911,31.31369,-95.46117
735,17912,29.70148,-96.59161
736,17913,29.68137,-97.65369
737,17914,33.18324,-101.3736
738,17915,29.89014,-97.67603
739,17916,30.10764,-97.31238
740,17917,31.89482,-98.60228
741,17918,32.22011,-98.20935
742,17919,32.38924,-97.91447
743,17920,29.6925,-97.29851
744,17921,29.04465,-95.57596
745,17922,32.74748,-97.35411
746,17923,32.81398,-96.90067
747,17924,32.73691,-97.10211
748,17925,32.73073,-97.21341
749,17926,32.76523,-97.29652
750,17927,33.64857,-95.5679
751,17928,33.76253,-96.53157
752,17929,33.77166,-96.56597
753,17930,33.77126,-96.55984
754,17931,33.63246,-97.14212
755,17932,33.39844,-96.9628
756,17933,32.55075,-98.49417
757,17934,32.66522,-98.11879
758,17935,33.91939,-102.31953
759,17936,35.86417,-101.98038
760,17937,34.05864,-101.84161
761,17938,33.832,-101.83839
762,17939,34.38788,-102.11954
763,17940,29.69197,-101.18523
764,17941,29.34603,-99.15919
765,17942,27.22154,-97.79276
766,17943,28.30487,-97.27077
767,17944,34.72716,-100.53572
768,17945,34.16258,-99.28511
769,17946,34.0282,-98.91838
770,17947,33.96894,-98.53094
771,17948,27.78671,-97.65914
772,17949,27.8483,-97.6173
773,17950,27.92276,-97.29202
774,17951,31.58307,-95.84938
775,17952,31.83528,-99.42767
776,17953,31.45102,-98.56785
777,17954,31.35713,-96.14577
778,17955,31.03181,-96.11392
779,17956,31.5306,-94.11449
780,17957,31.21819,-96.63971
781,17958,31.17783,-96.5
782,17959,31.76646,-96.33201
783,17960,31.65958,-96.48303
784,17961,32.14175,-96.09483
785,17962,32.13095,-96.23305
786,17963,31.74421,-95.62422
787,17964,31.59747,-94.65797
788,17965,31.54143,-97.0491
789,17966,30.84361,-96.63972
790,17967,30.84068,-96.64029
791,17968,30.83978,-96.63687
792,17969,30.84262,-96.63588
793,17970,29.74277,-104.06377
794,17971,32.4444,-95.1828
795,17972,32.38718,-94.8761
796,17973,32.48427,-94.7459
797,17974,32.50316,-94.81152
798,17975,32.44957,-94.68073
799,17976,32.15758,-94.33417
800,17977,33.2722,-94.09635
801,17978,27.50237,-99.41695
802,17979,27.49973,-99.3898
803,17980,27.78814,-97.66743
804,17981,27.78682,-97.66192
805,17982,28.6927,-96.83072
806,17983,28.68972,-96.83032
807,17984,29.42147,-94.96164
808,17985,29.57272,-95.02769
809,17986,29.60252,-95.03262
810,17987,29.64613,-95.03854
811,17988,29.68378,-95.03942
812,17989,29.35141,-94.94402
813,17990,29.34858,-94.94152
814,17991,29.3036,-94.8992
815,17992,29.2897,-94.8705
816,17993,29.2892,-94.8696
817,17994,29.29874,-94.81755
818,17995,29.69726,-95.327
819,17996,29.69402,-95.32803
820,17997,29.72037,-95.28635
821,17998,29.7199,-95.2842
822,17999,29.72034,-95.27933
823,18000,29.77585,-95.3468
824,18001,29.77163,-95.3447
825,18002,29.8196,-95.34831
826,18003,29.84554,-95.28819
827,18004,29.70934,-95.33087
828,18005,29.71734,-95.28875
829,18006,29.71621,-95.28387
830,18007,29.73646,-95.31211
831,18008,29.73864,-95.313
832,18009,29.77563,-95.34349
833,18010,29.784,-95.34503
834,18011,29.74073,-95.31158
835,18012,29.75293,-95.30329
836,18013,29.79649,-95.28813
837,18014,29.8011,-95.2837
838,18015,29.8017,-95.2883
839,18016,29.75864,-95.29335
840,18017,29.77281,-95.28893
841,18019,29.76735,-95.16623
842,18020,29.74933,-95.21191
843,18021,29.75653,-95.15314
844,18023,31.79913,-94.17196
845,18024,33.1801,-94.7438
846,18025,28.83057,-95.93404
847,18026,29.03204,-95.75327
848,18027,29.03728,-95.69258
849,18028,28.89717,-96.04715
850,18029,28.79749,-96.04837
851,18030,28.97632,-95.9662
852,18031,28.9774,-95.96487
853,18032,29.57421,-96.42969
854,18033,29.92947,-96.24608
855,18034,29.48858,-96.45796
856,18035,29.84727,-95.29301
857,18036,29.83519,-95.28825
858,18037,29.81123,-95.30209
859,18038,29.74698,-95.34427
860,18039,29.75189,-95.33989
861,18040,27.6658,-99.43364
862,18041,29.57109,-97.1442
863,18042,29.67922,-96.90505
864,18043,30.4514,-94.84467
865,18044,29.99714,-95.26591
866,18045,29.83603,-94.90576
867,18046,29.72668,-94.96974
868,18047,29.70209,-94.89617
869,18048,29.68654,-95.03682
870,18049,29.72014,-95.15315
871,18050,29.7193,-95.15529
872,18051,29.718,-95.20459
